carat,table,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,dimension
0.22,62.0,404,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.5912290931675614
0.3,59.0,405,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.9189418775871272
0.3,61.0,405,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1.8101635468272894
0.3,57.0,405,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.9677186605481451
0.3,57.0,405,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.906365555612976
0.3,55.0,405,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.9492461710191313
0.35,57.0,552,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.5349476971535227
0.3,59.0,552,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.9911808417110228
0.3,57.0,552,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.9078749879223809
0.3,56.0,552,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.8989204869554448
0.42,59.0,552,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.1454003374909139
0.28,56.0,553,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2.08150983824481
0.32,55.3,553,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1.7622700844843069
0.31,57.0,553,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.878780689943971
0.31,58.0,553,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.8728845223891075
0.24,58.0,553,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.3772874108424364
0.24,60.0,553,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.4186585939391865
0.3,56.0,554,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1.9361689855460673
0.3,59.0,554,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1.9700556311920217
0.3,57.0,554,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1.9611011302250858
0.3,57.0,554,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1.9411192083866669
0.26,60.0,554,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2.117548341381838
0.26,58.0,554,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.129076625752234
0.26,54.0,554,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.2191456542234755
0.26,60.0,554,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.3283295974053995
0.26,59.0,554,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.261986800836367
0.26,59.0,554,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.3332798202459992
0.26,60.0,554,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.2701137634688306
0.26,58.0,554,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.311366540185791
0.38,56.0,554,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.3757415894405065
0.24,59.0,554,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-2.4833340830257593
0.24,58.0,554,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-2.4225049968924686
0.24,59.0,554,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-2.390167252349182
0.24,58.0,554,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.323824455780149
0.32,58.0,554,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.8464034766074209
0.7,57.0,2757,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.265229684196693
0.7,56.0,2757,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.20490146156231534
0.71,57.0,2759,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2546868133338247
0.78,56.0,2759,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.48075973641774983
0.7,62.0,2759,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.22949470059225974
0.73,59.0,2760,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.345477204573262
0.8,58.0,2760,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.6123972919520605
0.75,56.0,2760,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.38163411409008124
0.75,54.0,2760,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6192394042211877
0.74,55.0,2760,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.4222049968321076
0.75,58.0,2760,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.41594268564842213
0.8,56.0,2760,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5781676579802477
0.75,55.0,2760,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.4514177011903092
0.8,59.0,2760,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5014003969281374
0.74,55.0,2761,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.38487756065495726
0.81,57.0,2761,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.815130522929685
0.59,55.0,2761,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.21816640011742644
0.8,57.0,2761,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6551200321851606
0.74,56.0,2761,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4277581760611127
0.9,58.0,2761,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.9427039353773103
0.74,59.0,2762,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.35733216377921667
0.73,56.0,2762,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.3356556964785896
0.73,53.0,2762,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.369621279711072
0.8,58.0,2762,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6333646272980071
0.71,54.0,2762,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.30807083080958403
0.7,58.0,2762,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2785314516158248
0.8,59.0,2762,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.7128118473198517
0.71,56.0,2762,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26134381245014854
0.74,54.0,2762,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4212985209111083
0.7,63.0,2762,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.11513595262366895
0.7,57.0,2762,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.062011903210455716
0.7,60.0,2762,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1047114881405918
0.91,56.0,2763,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.7322425123766443
0.61,57.0,2763,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.016300176267538206
0.91,57.0,2763,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9148550189689739
0.77,56.0,2763,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5071781581032097
0.71,58.0,2764,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.21240915431607407
0.71,59.0,2764,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.24271344774807901
0.7,60.0,2765,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1520019940951693
0.77,60.0,2765,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5145048203809502
0.63,60.0,2765,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.04165424685894289
0.71,62.0,2765,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.27947739633008795
0.71,59.0,2765,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.24917310289808398
0.76,57.0,2765,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5209644755309546
0.64,56.0,2766,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.004669799007651036
0.71,57.0,2766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.3125759724348346
0.71,56.0,2766,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.4188199885844762
0.7,55.0,2767,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.23221004567847392
0.7,57.0,2767,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.39908580399508903
0.71,55.0,2767,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3050519661907751
0.71,59.0,2768,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.05716785593613133
0.73,56.0,2768,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.42659173207756707
0.7,58.0,2768,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.20965434043659673
0.7,57.0,2768,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2825357297421612
0.71,59.0,2768,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2154048636319199
0.74,56.0,2769,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.43365434361597666
0.71,60.0,2770,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.14165646719861988
0.73,59.0,2770,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.3715526379328628
0.76,57.0,2770,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.41389292104684
0.76,57.0,2770,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.408300273024572
0.71,56.0,2770,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.3383751242415884
0.73,58.0,2770,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.43230278647962694
0.73,58.0,2770,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.3350922088834485
0.73,57.0,2770,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5060117141196635
0.73,59.0,2770,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.4730710131879725
0.72,56.0,2771,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.38375058546467544
0.73,60.0,2771,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.3923226293124899
0.71,57.0,2771,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.3130210536501843
0.79,55.0,2771,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.613946193054729
0.73,59.0,2772,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.44751959863024876
0.8,57.0,2772,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.7069946173515157
0.58,55.0,2772,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.21321617727682618
0.58,56.0,2772,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.30944134136547713
0.71,61.0,2772,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.38952834663974767
0.75,56.0,2773,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.48454351527480377
1.17,61.0,2774,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.9861095725613886
0.6,55.0,2774,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.19220937313761635
0.7,55.0,2774,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.269155024736502
0.83,54.0,2774,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5541651445251918
0.74,61.0,2775,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.40773678542943037
0.72,56.4,2776,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.20987483970587908
0.71,58.0,2776,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.26939183749608464
0.71,57.0,2776,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25111669193338965
0.54,56.0,2776,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.45005655316968796
0.54,57.0,2776,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.467019610389297
0.72,56.0,2776,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.28959834128057016
0.72,56.0,2776,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.37230123868080756
0.72,60.5,2776,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.367694004166066
0.71,56.0,2776,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.32802959734503895
0.7,58.0,2777,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2456928435736247
0.71,58.0,2777,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.21679588956153328
0.71,57.0,2777,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.20285169696073324
0.71,58.0,2777,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.16306888375991485
0.7,55.0,2777,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2169142959413246
0.7,60.0,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.18000878567656048
0.7,59.0,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.29905370574642054
0.7,57.0,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2268542104157885
0.7,59.0,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1755825816378379
0.7,57.0,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.22284993228945196
0.7,58.0,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2931970069848208
0.7,57.0,2777,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.27128372692461167
0.72,61.0,2777,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.33275523823957204
0.7,63.0,2777,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23524522378758367
0.7,58.0,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.21385596252925157
0.7,58.0,2777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28760435896255215
0.7,59.0,2777,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.15427225796603336
0.78,58.0,2777,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.425421205417236
0.7,60.0,2777,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.040560017855895615
0.52,55.0,2778,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.5413709632110024
0.73,56.0,2779,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.41272647706329435
0.74,56.0,2779,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.41590321685515835
0.7,57.0,2780,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.16552426078358348
0.77,58.0,2780,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.550886311843837
0.71,54.0,2780,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.24021860193114683
0.74,55.0,2780,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.4351637759253808
0.7,59.0,2780,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.20066037067639633
1.01,60.0,2781,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.275245456556945
0.77,56.0,2781,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.4811027247436088
0.78,56.0,2781,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.6106510468830737
0.72,63.0,2782,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.35153124730118046
0.76,56.0,2782,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5613502451201782
0.7,60.0,2782,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0729372311924463
0.75,58.0,2782,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3477079996508632
0.72,57.0,2782,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2955734464219613
0.72,59.0,2782,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2693523687028214
0.7,60.0,2782,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.20946922728379275
0.75,59.0,2782,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.47820226650459075
0.52,55.0,2783,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.5916966472746897
0.72,54.0,2784,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.27720304978243926
0.79,56.0,2784,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5639866526198642
0.72,58.0,2787,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.23587133547895234
0.51,57.0,2787,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.6425858189335167
0.64,56.0,2787,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.012638886467060165
0.7,60.0,2788,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.28748595258276083
0.83,60.0,2788,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.8112283376928396
0.76,56.0,2788,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4796327612274679
0.71,56.0,2788,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.20440059806340116
0.71,55.0,2788,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.2185026658372569
1.01,58.0,2788,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.1493978930112223
1.01,59.0,2788,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.1288130147843987
0.77,52.0,2789,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.42908249521771347
0.76,54.0,2789,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4402555604487355
0.76,58.0,2789,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5543271023750324
0.76,58.0,2789,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4496714561213224
1.05,56.0,2789,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.4584377642347162
0.81,56.0,2789,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6760873675311061
